Date,Open,High,Low,Close,Volume,Adj Close
2010-12-27,18.200001,18.709999,18.200001,18.57,2584500,16.495474
2010-12-20,18.360001,18.49,18.17,18.26,3559700,16.220106
2010-12-13,18.700001,18.969999,18.200001,18.280001,5104000,16.237871
2010-12-06,18.24,18.860001,18.17,18.709999,4981400,16.557117
2010-11-29,17.98,18.32,17.559999,18.25,5079800,16.150047
2010-11-22,17.969999,18.280001,17.85,18.15,4305900,16.061554
2010-11-15,18.190001,18.379999,17.440001,18.09,6263700,16.008459
2010-11-08,18.120001,18.790001,18.040001,18.110001,7369700,16.026157
2010-11-01,17.809999,18.26,17.33,18.24,13172600,16.141199
2010-10-25,17.99,18.60,17.58,17.59,7865500,15.565991
2010-10-18,17.85,18.18,17.59,17.90,3438900,15.840321
2010-10-11,17.84,17.959999,17.360001,17.889999,4875700,15.831471
2010-10-04,17.620001,18.00,17.360001,17.74,4068400,15.698731
2010-10-01,17.84,18.129999,17.559999,17.68,5874000,15.645636
